,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-06-04 09:17:25,復興南路二段235號前,27,1
1,YouBike2.0_復興南路二段273號前,21,3,大安區,2023-06-04 09:17:25,復興南路二段273號西側,18,1
3,YouBike2.0_和平公園東側,11,3,大安區,2023-06-04 09:07:13,和平東路二段118巷33號,8,1
6,YouBike2.0_復興南路二段340巷口,11,3,大安區,2023-06-04 09:09:13,復興南路二段342號,8,1
16,YouBike2.0_和平臥龍街口,15,2,大安區,2023-06-04 09:10:19,臥龍街1號,13,1
17,YouBike2.0_溫州停車場,5,0,大安區,2023-06-04 08:26:04,新生南路三段54巷/溫州街口,5,1
18,YouBike2.0_銘傳國小側門,7,0,大安區,2023-06-04 09:14:04,羅斯福路四段21號旁天橋下,7,1
23,YouBike2.0_公館公園,15,1,大安區,2023-06-04 09:17:25,羅斯福路四段113巷基隆路四段41巷口,14,1
24,YouBike2.0_臺灣科技大學後門,39,2,大安區,2023-06-04 09:17:15,基隆路四段41巷68弄臺科帆船大樓旁,37,1
28,YouBike2.0_臺大男七舍前,20,2,大安區,2023-06-04 09:09:13,長興街/長興街80巷口西側,18,1
32,YouBike2.0_臺大土木研究大樓前,24,3,大安區,2023-06-04 08:18:14,辛亥路三段188號,21,1
36,YouBike2.0_臺大法人語言訓練中心前,28,2,大安區,2023-06-04 08:44:14,臺大法人語言訓練中心北側,26,1
37,YouBike2.0_臺大綜合體育館停車場前,25,2,大安區,2023-06-04 09:07:13,臺大綜合體育館北側,23,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,0,大安區,2023-06-04 09:17:15,辛亥路一段/羅斯福路三段口北側(辛亥路側),15,1
55,YouBike2.0_和平泰順街口,9,0,大安區,2023-06-04 08:56:04,和平東路一段/泰順街口東南側,9,1
58,YouBike2.0_捷運古亭站(5號出口),14,0,大安區,2023-06-04 09:17:25,和平東路一段19號前,14,1
63,YouBike2.0_捷運東門站(3號出口),15,1,大安區,2023-06-04 09:14:14,信義路二段128號前,14,1
64,YouBike2.0_金甌女中,12,0,大安區,2023-06-04 09:18:13,信義路二段與杭州南路二段東南側,12,1
67,YouBike2.0_敦化南路二段293巷口南側,14,0,大安區,2023-06-04 08:21:03,敦化南路二段293巷口南側,14,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,0,大安區,2023-06-04 09:04:04,通化街111號,30,1
72,YouBike2.0_台北科技大學億光大樓,46,1,大安區,2023-06-04 09:12:14,忠孝東路三段81號,45,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-06-03 19:11:04,建國南路一段304巷45號南側,15,0
81,YouBike2.0_信義大安路口(信維大樓),12,0,大安區,2023-06-04 09:08:04,信義路四段74號(前),12,1
